19750,0,0
18941.22,4066.0115,0
16638.0096,7513.0096,0
13191.0115,9816.22,0
9125,10625,0
5058.9885,9816.22,0
1611.9904,7513.0096,0
-691.22,4066.0115,0
-1500,0,0
-691.22,-4066.0115,0
1611.9904,-7513.0096,0
5058.9885,-9816.22,0
9125,-10625,0
13191.0115,-9816.22,0
16638.0096,-7513.0096,0
18941.22,-4066.0115,0
19750,0,0
16750,0,1
16169.5814,2917.9612,1
14516.6892,5391.6892,1
12042.9612,7044.5814,1
9125,7625,1
6207.0388,7044.5814,1
3733.3108,5391.6892,1
2080.4186,2917.9612,1
1500,0,1
2080.4186,-2917.9612,1
3733.3108,-5391.6892,1
6207.0388,-7044.5814,1
9125,-7625,1
12042.9612,-7044.5814,1
14516.6892,-5391.6892,1
16169.5814,-2917.9612,0
